item_id,city,sell_price_min,sell_price_min_date,sell_price_max,sell_price_max_date
T4_WOOD_LEVEL4@4,Bridgewatch,40000.0,2023-09-26T20:45:00,40000.0,2023-09-26T20:45:00
T4_WOOD_LEVEL4@4,Fort Sterling,29990.0,2023-09-26T09:25:00,30999.0,2023-09-26T09:25:00
T4_WOOD_LEVEL4@4,Lymhurst,29998.0,2023-09-26T18:40:00,29999.0,2023-09-26T18:40:00
T4_WOOD_LEVEL4@4,Martlock,25554.0,2023-09-26T21:20:00,26000.0,2023-09-26T21:20:00
T4_WOOD_LEVEL4@4,Thetford,29975.0,2023-09-26T18:35:00,30000.0,2023-09-26T18:35:00
T5_PLANKS,Bridgewatch,658.0,2023-09-26T17:20:00,750.0,2023-09-26T17:20:00
T5_PLANKS,Fort Sterling,596.0,2023-09-26T18:45:00,596.0,2023-09-26T18:45:00
T5_PLANKS,Lymhurst,647.0,2023-09-26T23:00:00,797.0,2023-09-26T23:00:00
T5_PLANKS,Martlock,610.0,2023-09-26T21:05:00,693.0,2023-09-26T21:05:00
T5_PLANKS,Thetford,600.0,2023-09-27T00:35:00,675.0,2023-09-27T00:35:00
T5_PLANKS_LEVEL1@1,Bridgewatch,1293.0,2023-09-26T17:20:00,1400.0,2023-09-26T17:20:00
T5_PLANKS_LEVEL1@1,Fort Sterling,1195.0,2023-09-26T18:45:00,1283.0,2023-09-26T18:45:00
T5_PLANKS_LEVEL1@1,Lymhurst,1182.0,2023-09-27T00:35:00,11720.0,2023-09-27T00:35:00
T5_PLANKS_LEVEL1@1,Martlock,1354.0,2023-09-26T23:00:00,1415.0,2023-09-26T23:00:00
T5_PLANKS_LEVEL1@1,Thetford,1107.0,2023-09-27T00:35:00,1241.0,2023-09-27T00:35:00
T5_PLANKS_LEVEL2@2,Bridgewatch,3261.0,2023-09-26T16:35:00,3263.0,2023-09-26T16:35:00
T5_PLANKS_LEVEL2@2,Fort Sterling,3225.0,2023-09-26T17:00:00,3457.0,2023-09-26T17:00:00
T5_PLANKS_LEVEL2@2,Lymhurst,3993.0,2023-09-26T04:35:00,5059.0,2023-09-26T04:35:00
T5_PLANKS_LEVEL2@2,Martlock,3490.0,2023-09-27T00:10:00,3643.0,2023-09-27T00:10:00
T5_PLANKS_LEVEL2@2,Thetford,3982.0,2023-09-26T01:40:00,19746.0,2023-09-26T01:40:00
T5_PLANKS_LEVEL3@3,Bridgewatch,,,,
T5_PLANKS_LEVEL3@3,Fort Sterling,16858.0,2023-09-26T15:00:00,17771.0,2023-09-26T15:00:00
T5_PLANKS_LEVEL3@3,Lymhurst,15900.0,2023-09-26T06:05:00,16999.0,2023-09-26T06:05:00
T5_PLANKS_LEVEL3@3,Martlock,16976.0,2023-09-26T12:10:00,19997.0,2023-09-26T12:10:00
T5_PLANKS_LEVEL3@3,Thetford,15418.0,2023-09-26T18:35:00,15418.0,2023-09-26T18:35:00
T5_PLANKS_LEVEL4@4,Bridgewatch,70000.0,2023-09-26T20:45:00,75000.0,2023-09-26T20:45:00
T5_PLANKS_LEVEL4@4,Fort Sterling,62207.0,2023-09-26T18:45:00,84998.0,2023-09-26T18:45:00
T5_PLANKS_LEVEL4@4,Lymhurst,89989.0,2023-09-26T18:50:00,236666.0,2023-09-26T18:50:00
T5_PLANKS_LEVEL4@4,Martlock,65000.0,2023-09-26T20:50:00,350000.0,2023-09-26T20:50:00
T5_PLANKS_LEVEL4@4,Thetford,89000.0,2023-09-26T18:25:00,121890.0,2023-09-26T18:25:00
T5_WOOD,Bridgewatch,203.0,2023-09-26T19:55:00,203.0,2023-09-26T19:55:00
T5_WOOD,Fort Sterling,215.0,2023-09-26T23:55:00,267.0,2023-09-26T23:55:00
T5_WOOD,Lymhurst,217.0,2023-09-26T22:30:00,225.0,2023-09-26T22:30:00
T5_WOOD,Martlock,,,,
T5_WOOD,Thetford,215.0,2023-09-26T21:00:00,227.0,2023-09-26T21:00:00
T5_WOOD_LEVEL1@1,Bridgewatch,531.0,2023-09-26T14:35:00,765.0,2023-09-26T14:35:00
T5_WOOD_LEVEL1@1,Fort Sterling,408.0,2023-09-27T00:30:00,519.0,2023-09-27T00:30:00
T5_WOOD_LEVEL1@1,Lymhurst,400.0,2023-09-26T23:50:00,613.0,2023-09-26T23:50:00
T5_WOOD_LEVEL1@1,Martlock,422.0,2023-09-26T15:55:00,9200.0,2023-09-26T15:55:00
T5_WOOD_LEVEL1@1,Thetford,427.0,2023-09-26T16:05:00,547.0,2023-09-26T16:05:00
T5_WOOD_LEVEL2@2,Bridgewatch,1047.0,2023-09-26T17:05:00,1269.0,2023-09-26T17:05:00
T5_WOOD_LEVEL2@2,Fort Sterling,1248.0,2023-09-26T17:00:00,1318.0,2023-09-26T17:00:00
T5_WOOD_LEVEL2@2,Lymhurst,1135.0,2023-09-26T23:50:00,1171.0,2023-09-26T23:50:00
T5_WOOD_LEVEL2@2,Martlock,1174.0,2023-09-26T22:30:00,1174.0,2023-09-26T22:30:00
T5_WOOD_LEVEL2@2,Thetford,1094.0,2023-09-26T17:05:00,1148.0,2023-09-26T17:05:00
T5_WOOD_LEVEL3@3,Bridgewatch,,,,
T5_WOOD_LEVEL3@3,Fort Sterling,8920.0,2023-09-26T09:35:00,8996.0,2023-09-26T09:35:00
T5_WOOD_LEVEL3@3,Lymhurst,7899.0,2023-09-26T23:40:00,7983.0,2023-09-26T23:40:00
T5_WOOD_LEVEL3@3,Martlock,8400.0,2023-09-27T00:20:00,8500.0,2023-09-27T00:20:00
T5_WOOD_LEVEL3@3,Thetford,8177.0,2023-09-26T03:35:00,8177.0,2023-09-26T03:35:00
T5_WOOD_LEVEL4@4,Bridgewatch,45438.0,2023-09-26T20:45:00,68397.0,2023-09-26T20:45:00
T5_WOOD_LEVEL4@4,Fort Sterling,38000.0,2023-09-26T19:00:00,38000.0,2023-09-26T19:00:00
T5_WOOD_LEVEL4@4,Lymhurst,,,,
T5_WOOD_LEVEL4@4,Martlock,49548.0,2023-09-26T21:05:00,59999.0,2023-09-26T21:05:00
T5_WOOD_LEVEL4@4,Thetford,38799.0,2023-09-26T20:50:00,40000.0,2023-09-26T20:50:00
T6_PLANKS,Bridgewatch,2016.0,2023-09-26T20:35:00,2064.0,2023-09-26T20:35:00
T6_PLANKS,Fort Sterling,1961.0,2023-09-27T00:25:00,2042.0,2023-09-27T00:25:00
T6_PLANKS,Lymhurst,1963.0,2023-09-26T17:05:00,2078.0,2023-09-26T17:05:00
T6_PLANKS,Martlock,1994.0,2023-09-26T17:10:00,2116.0,2023-09-26T17:10:00
T6_PLANKS,Thetford,1948.0,2023-09-26T23:10:00,2027.0,2023-09-26T23:10:00
T6_PLANKS_LEVEL1@1,Bridgewatch,3710.0,2023-09-26T20:35:00,3892.0,2023-09-26T20:35:00
T6_PLANKS_LEVEL1@1,Fort Sterling,3590.0,2023-09-26T18:45:00,3673.0,2023-09-26T18:45:00
T6_PLANKS_LEVEL1@1,Lymhurst,3847.0,2023-09-27T00:35:00,24947.0,2023-09-27T00:35:00
T6_PLANKS_LEVEL1@1,Martlock,3767.0,2023-09-26T19:20:00,3965.0,2023-09-26T19:20:00
T6_PLANKS_LEVEL1@1,Thetford,3650.0,2023-09-27T00:35:00,3718.0,2023-09-27T00:35:00
T6_PLANKS_LEVEL2@2,Bridgewatch,14633.0,2023-09-26T20:35:00,14633.0,2023-09-26T20:35:00
T6_PLANKS_LEVEL2@2,Fort Sterling,14219.0,2023-09-26T16:30:00,16408.0,2023-09-26T16:30:00
T6_PLANKS_LEVEL2@2,Lymhurst,,,,
T6_PLANKS_LEVEL2@2,Martlock,13871.0,2023-09-26T12:10:00,17450.0,2023-09-26T12:10:00
